record_type,invoice_no,transaction_id,expected_transaction_id,expected_status,controller_status,pair_correct,status_correct,ledger_amount,payment_amount,amount_difference,date_gap_days,confidence
Invoice,INV00019,TXN00019,TXN00019,MATCH,MATCH,True,True,50489.84,50489.84,0.0,1.0,100.0
Invoice,INV00020,TXN00020,TXN00020,MATCH,MATCH,True,True,29815.06,29815.06,0.0,0.0,100.0
Invoice,INV00021,TXN00021,TXN00021,MATCH,MATCH,True,True,32467.7,32467.7,0.0,3.0,99.0
Invoice,INV00022,TXN00022,TXN00022,MATCH,MATCH,True,True,25588.3,25588.3,0.0,5.0,97.0
Invoice,INV00023,TXN00023,TXN00023,MATCH,MATCH,True,True,15592.52,15592.52,0.0,5.0,97.0
Invoice,INV00024,TXN00024,TXN00024,MATCH,MATCH,True,True,55110.72,55110.72,0.0,3.0,99.0
Invoice,INV00025,TXN00025,TXN00025,MATCH,MATCH,True,True,47400.6,47400.6,0.0,6.0,96.0
Invoice,INV00026,TXN00026,TXN00026,MATCH,MATCH,True,True,40088.14,40088.14,0.0,4.0,98.0
Invoice,INV00027,TXN00027,TXN00027,MATCH,MATCH,True,True,27267.44,27267.44,0.0,0.0,100.0
Invoice,INV00028,TXN00028,TXN00028,MATCH,MATCH,True,True,49588.32,49588.32,0.0,6.0,96.0
Invoice,INV00029,TXN00029,TXN00029,MATCH,MATCH,True,True,34861.92,34861.92,0.0,4.0,98.0
Invoice,INV00030,TXN00030,TXN00030,MATCH,MATCH,True,True,29444.54,29444.54,0.0,5.0,97.0
Invoice,INV00031,TXN00031,TXN00031,MATCH,MATCH,True,True,29818.6,29818.6,0.0,4.0,98.0
Invoice,INV00032,TXN00032,TXN00032,MATCH,MATCH,True,True,17965.5,17965.5,0.0,4.0,98.0
Invoice,INV00033,TXN00033,TXN00033,MATCH,MATCH,True,True,10792.28,10792.28,0.0,0.0,100.0
Invoice,INV00034,TXN00034,TXN00034,MATCH,MATCH,True,True,35348.08,35348.08,0.0,4.0,98.0
Invoice,INV00035,TXN00035,TXN00035,MATCH,MATCH,True,True,53046.9,53046.9,0.0,6.0,96.0
Invoice,INV00036,TXN00036,TXN00036,MATCH,MATCH,True,True,9287.78,9287.78,0.0,2.0,100.0
Invoice,INV00037,TXN00037,TXN00037,MATCH,MATCH,True,True,51475.14,51475.14,0.0,4.0,98.0
Invoice,INV00038,TXN00038,TXN00038,MATCH,MATCH,True,True,49846.74,49846.74,0.0,0.0,100.0
Invoice,INV00039,TXN00039,TXN00039,MATCH,MATCH,True,True,20595.72,20595.72,0.0,2.0,100.0
Invoice,INV00040,TXN00040,TXN00040,MATCH,MATCH,True,True,39440.32,39440.32,0.0,3.0,99.0
Invoice,INV00041,TXN00041,TXN00041,MATCH,MATCH,True,True,14673.3,14673.3,0.0,7.0,95.0
Invoice,INV00042,TXN00042,TXN00042,MATCH,MATCH,True,True,46153.34,46153.34,0.0,1.0,100.0
Invoice,INV00043,TXN00043,TXN00043,MATCH,MATCH,True,True,43097.14,43097.14,0.0,2.0,100.0
Invoice,INV00044,TXN00044,TXN00044,MATCH,MATCH,True,True,24724.54,24724.54,0.0,3.0,99.0
Invoice,INV00045,TXN00045,TXN00045,MATCH,MATCH,True,True,9506.08,9506.08,0.0,7.0,95.0
Invoice,INV00046,TXN00046,TXN00046,MATCH,MATCH,True,True,57443.58,57443.58,0.0,6.0,96.0
Invoice,INV00047,TXN00047,TXN00047,MATCH,MATCH,True,True,29564.9,29564.9,0.0,0.0,100.0
Invoice,INV00048,TXN00048,TXN00048,MATCH,MATCH,True,True,53324.2,53324.2,0.0,1.0,100.0
Invoice,INV00049,TXN00049,TXN00049,MATCH,MATCH,True,True,41897.08,41897.08,0.0,6.0,96.0
Invoice,INV00050,TXN00050,TXN00050,MATCH,MATCH,True,True,47231.86,47231.86,0.0,0.0,100.0
Invoice,INV00051,TXN00051,TXN00051,MATCH,MATCH,True,True,46250.1,46250.1,0.0,6.0,96.0
Invoice,INV00052,TXN00052,TXN00052,MATCH,MATCH,True,True,16234.44,16234.44,0.0,2.0,100.0
Invoice,INV00053,TXN00053,TXN00053,MATCH,MATCH,True,True,25222.5,25222.5,0.0,7.0,95.0
Invoice,INV00054,TXN00054,TXN00054,MATCH,MATCH,True,True,30682.36,30682.36,0.0,2.0,100.0
Invoice,INV00055,TXN00055,TXN00055,MATCH,MATCH,True,True,32332.0,32332.0,0.0,3.0,99.0
Invoice,INV00056,TXN00056,TXN00056,MATCH,MATCH,True,True,8225.78,8225.78,0.0,5.0,97.0
Invoice,INV00057,TXN00057,TXN00057,MATCH,MATCH,True,True,34922.1,34922.1,0.0,1.0,100.0
Invoice,INV00058,TXN00058,TXN00058,MATCH,MATCH,True,True,14092.74,14092.74,0.0,4.0,98.0
Invoice,INV00059,TXN00059,TXN00059,MATCH,MATCH,True,True,45372.18,45372.18,0.0,4.0,98.0
Invoice,INV00060,TXN00060,TXN00060,MATCH,MATCH,True,True,42169.66,42169.66,0.0,6.0,96.0
Invoice,INV00061,TXN00061,TXN00061,MATCH,MATCH,True,True,54885.34,54885.34,0.0,7.0,95.0
Invoice,INV00062,TXN00062,TXN00062,MATCH,MATCH,True,True,45446.52,45446.52,0.0,5.0,92.0
Invoice,INV00063,TXN00063,TXN00063,MATCH,MATCH,True,True,25367.64,25367.64,0.0,3.0,99.0
Invoice,INV00064,TXN00064,TXN00064,MATCH,MATCH,True,True,57273.66,57273.66,0.0,3.0,99.0
Invoice,INV00065,TXN00065,TXN00065,MATCH,MATCH,True,True,27715.84,27715.84,0.0,3.0,99.0
Invoice,INV00066,TXN00066,TXN00066,MATCH,MATCH,True,True,23201.16,23201.16,0.0,6.0,96.0
Invoice,INV00067,TXN00067,TXN00067,MATCH,MATCH,True,True,53983.82,53983.82,0.0,2.0,100.0
Invoice,INV00068,TXN00068,TXN00068,MATCH,MATCH,True,True,25570.6,25570.6,0.0,1.0,100.0
Invoice,INV00069,TXN00069,TXN00069,MATCH,MATCH,True,True,9953.3,9953.3,0.0,2.0,100.0
Invoice,INV00070,TXN00070,TXN00070,MATCH,MATCH,True,True,30833.4,30833.4,0.0,0.0,100.0
Invoice,INV00071,TXN00071,TXN00071,EXCEPTION,EXCEPTION,True,True,48149.9,48399.9,250.0,0.0,90.0
Invoice,INV00072,TXN00072,TXN00072,EXCEPTION,EXCEPTION,True,True,15960.68,15960.68,0.0,45.0,70.0
Invoice,INV00073,TXN00073,TXN00073,EXCEPTION,EXCEPTION,True,True,30481.76,30481.76,0.0,6.0,81.0
Invoice,INV00074,TXN00074,TXN00074,EXCEPTION,EXCEPTION,True,True,12798.28,13998.28,1200.0,5.0,72.0
Invoice,INV00075,TXN00075,TXN00075,EXCEPTION,EXCEPTION,True,True,42351.38,42351.38,0.0,45.0,70.0
Invoice,INV00076,TXN00076,TXN00076,EXCEPTION,EXCEPTION,True,True,31159.08,31159.08,0.0,3.0,89.0
Invoice,INV00077,TXN00077,TXN00077,EXCEPTION,EXCEPTION,True,True,23432.44,24182.44,750.0,5.0,77.0
Invoice,INV00078,TXN00078,TXN00078,EXCEPTION,EXCEPTION,True,True,17947.8,17947.8,0.0,45.0,70.0
Invoice,INV00079,TXN00079,TXN00079,EXCEPTION,EXCEPTION,True,True,35874.36,35874.36,0.0,7.0,85.0
Invoice,INV00080,TXN00080,TXN00080,EXCEPTION,EXCEPTION,True,True,41466.38,41966.38,500.0,4.0,83.0
Invoice,INV00081,TXN00081,TXN00081,EXCEPTION,EXCEPTION,True,True,55829.34,55829.34,0.0,45.0,70.0
Invoice,INV00082,TXN00082,TXN00082,EXCEPTION,EXCEPTION,True,True,29111.78,29111.78,0.0,1.0,90.0
Invoice,INV00083,TXN00083,TXN00083,EXCEPTION,EXCEPTION,True,True,14431.4,14681.4,250.0,3.0,89.0
Invoice,INV00084,TXN00084,TXN00084,EXCEPTION,EXCEPTION,True,True,50114.6,50114.6,0.0,45.0,70.0
Invoice,INV00085,TXN00085,TXN00085,EXCEPTION,EXCEPTION,True,True,39340.02,39340.02,0.0,3.0,84.0
Invoice,INV00086,TXN00086,TXN00086,MATCH,MATCH,True,True,43082.98,43082.98,0.0,3.0,94.0
Invoice,INV00087,TXN00087,TXN00087,MATCH,MATCH,True,True,11062.5,11062.5,0.0,1.0,100.0
Invoice,INV00088,TXN00088,TXN00088,MATCH,MATCH,True,True,22486.08,22486.08,0.0,3.0,99.0
Invoice,INV00089,TXN00089,TXN00089,MATCH,MATCH,True,True,46671.36,46671.36,0.0,1.0,100.0
Invoice,INV00090,TXN00090,TXN00090,MATCH,MATCH,True,True,50092.18,50092.18,0.0,2.0,100.0
Invoice,INV00091,TXN00091,TXN00091,MATCH,MATCH,True,True,29009.12,29009.12,0.0,5.0,97.0
Invoice,INV00092,TXN00092,TXN00092,MATCH,MATCH,True,True,48632.52,48632.52,0.0,5.0,92.0
Invoice,INV00093,TXN00093,TXN00093,MATCH,MATCH,True,True,50593.68,50593.68,0.0,4.0,98.0
Invoice,INV00094,TXN00094,TXN00094,MATCH,MATCH,True,True,26474.48,26474.48,0.0,2.0,100.0
Invoice,INV00095,TXN00095,TXN00095,MATCH,MATCH,True,True,53587.34,53587.34,0.0,7.0,95.0
Invoice,INV00096,TXN00096,TXN00096,MATCH,MATCH,True,True,21209.32,21209.32,0.0,0.0,100.0
Invoice,INV00097,TXN00097,TXN00097,MATCH,MATCH,True,True,18620.4,18620.4,0.0,2.0,100.0
Invoice,INV00098,TXN00098,TXN00098,MATCH,MATCH,True,True,42140.16,42140.16,0.0,0.0,100.0
Invoice,INV00099,TXN00099,TXN00099,MATCH,MATCH,True,True,39711.72,39711.72,0.0,2.0,100.0
Invoice,INV00100,TXN00100,TXN00100,MATCH,MATCH,True,True,13319.84,13319.84,0.0,7.0,95.0
Payment,,TXN00101,,UNMATCH,UNMATCH,True,True,,24510.0,,,
Payment,,TXN00102,,UNMATCH,UNMATCH,True,True,,54880.0,,,
Payment,,TXN00103,,UNMATCH,UNMATCH,True,True,,31723.0,,,
Payment,,TXN00104,,UNMATCH,UNMATCH,True,True,,43183.0,,,
Payment,,TXN00105,,UNMATCH,UNMATCH,True,True,,29615.0,,,
Payment,,TXN00106,,UNMATCH,UNMATCH,True,True,,18888.0,,,
Payment,,TXN00107,,UNMATCH,UNMATCH,True,True,,46796.0,,,
Payment,,TXN00108,,UNMATCH,UNMATCH,True,True,,58273.0,,,
Payment,,TXN00109,,UNMATCH,UNMATCH,True,True,,18757.0,,,
Payment,,TXN00110,,UNMATCH,UNMATCH,True,True,,47610.0,,,
Payment,,TXN00111,,UNMATCH,UNMATCH,True,True,,18623.0,,,
Payment,,TXN00112,,UNMATCH,UNMATCH,True,True,,44145.0,,,
Payment,,TXN00113,,UNMATCH,UNMATCH,True,True,,48184.0,,,
Payment,,TXN00114,,UNMATCH,UNMATCH,True,True,,29164.0,,,
Payment,,TXN00115,,UNMATCH,UNMATCH,True,True,,45267.0,,,
